ID_Produk_Sintetis,Nama Produk,Kategori Produk,Harga Produk,Review,Family_Template,kategori_grouped,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,tebal_micron,jumlah_pcs,jumlah_lembar,jumlah_roll,jumlah_set,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,is_roll,jumlah_dimensi_x,panjang_nama,jumlah_token,Review_Bin_Saran,Split_Saran,Nama_Produk_Normalized
SYN-5000-00001,Double Tape Foam Joyko 36 mm x 5 meter,Perekat,24500,3.5,double_tape,Perekat,pe foam,joyko,lainnya,foam,lainnya,10.106469212026385,0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,38,9,3.5-4,train,double tape foam joyko 36 mm x 5 meter
SYN-5000-00002,Kantong Plastik Laundry PP 30 cm x 50 cm,Perlengkapan Rumah,10500,3.0,laundry_pp,Perlengkapan Rumah,plastik,lainnya,lainnya,pp,lainnya,9.259225769705994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,40,9,2.5-3,train,kantong plastik laundry pp 30 cm x 50 cm
SYN-5000-00003,Lakban Deli Coklat 48 mm x 120 yard,Perekat,11000,3.0,lakban,Perekat,lakban,deli,coklat,lainnya,lainnya,9.305741456739435,0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,120.0,0,0,0,0,0,1,35,8,2.5-3,train,lakban deli coklat 48 mm x 120 yard
SYN-5000-00004,Bubble Wrap GMP Hitam 2.4kg 60 cm x 25 meter,Pelindung Kemasan,68500,4.0,bubble_wrap,Pelindung Kemasan,bubble wrap,gmp,hitam,lainnya,lainnya,11.134603622683905,0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,0,1,44,10,3.5-4,train,bubble wrap gmp hitam 2.4kg 60 cm x 25 meter
SYN-5000-00005,Double Tape Foam Yatta 36 mm x 15 meter,Perekat,42500,4.0,double_tape,Perekat,pe foam,yatta,lainnya,foam,lainnya,10.657282884047461,0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,39,9,3.5-4,test,double tape foam yatta 36 mm x 15 meter
SYN-5000-00006,Plastik Polymailer Silver 30 cm x 40 cm,Kemasan Pengiriman,12000,3.0,polymailer,Kemasan Pengiriman,plastik,lainnya,silver,lainnya,lainnya,9.392745258631441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,39,8,2.5-3,test,plastik polymailer silver 30 cm x 40 cm
SYN-5000-00007,Lakban Hiro Merah 45 mm x 90 yard,Perekat,8000,2.5,lakban,Perekat,lakban,hiro,merah,lainnya,lainnya,8.987321812850125,0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,0,1,33,8,2.5-3,train,lakban hiro merah 45 mm x 90 yard
SYN-5000-00008,Kantong Plastik Laundry PP 60 cm x 90 cm,Perlengkapan Rumah,19500,3.5,laundry_pp,Perlengkapan Rumah,plastik,lainnya,lainnya,pp,lainnya,9.87822102528824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,40,9,3.5-4,train,kantong plastik laundry pp 60 cm x 90 cm
SYN-5000-00009,Kardus Packing 65 cm x 35 cm x 30 cm BFlute,Kardus Kemasan,5500,2.5,kardus,Kardus Kemasan,kardus,lainnya,lainnya,bflute,lainnya,8.612685172875459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,65.0,35.0,30.0,11.130947364954519,0.0,0.0,0.0,0.0,1,0,0,0,0,2,43,11,2.5-3,train,kardus packing 65 cm x 35 cm x 30 cm bflute
SYN-5000-00010,Bubble Wrap Global Hitam 3.2kg 30 cm x 50 meter,Pelindung Kemasan,85000,5.0,bubble_wrap,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,11.350418300109132,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0,0,0,0,0,1,47,10,4.5-5,test,bubble wrap global hitam 3.2kg 30 cm x 50 meter
