log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,jumlah_dimensi_x,panjang_nama,jumlah_token,is_bflute,is_cflute,is_foam,is_kraft,kategori_produk,family_template,jenis_produk,merek,warna,material,bentuk_kemasan,review,review_count,review_std,review_nunique,nama_produk_normalized,split_grouped,has_box_dimension,has_roll_dimension,has_yard_dimension
10.823250575186464,0.0,2.301,0.0,0.0,30.775,50.445,0.0,0.0,0.0,0.0,0.0,29.905,50.805,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.0,2,0.0,1,bubble wrap global bening 2.2kg 30 cm x 50 meter,train,0,1,0
11.245059091624617,0.0,2.4,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,1.0,49.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,3.5,1,0.0,1,bubble wrap global bening 2.4kg 125 cm x 25 meter,train,0,1,0
11.127277689932466,0.0,2.273,0.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.5,3,0.0,1,bubble wrap global bening 2.4kg 60 cm x 50 meter,train,0,1,0
11.184435286790633,0.0,2.7,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,1.0,49.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.0,1,0.0,1,bubble wrap global bening 2.7kg 125 cm x 25 meter,train,0,1,0
11.10545846668741,0.0,2.7990000000000004,0.0,0.0,29.845,24.865000000000002,0.0,0.0,0.0,0.0,0.0,29.875,24.93,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.0,2,0.0,1,bubble wrap global bening 2.7kg 30 cm x 25 meter,train,0,1,0
11.556951919719207,0.0,3.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,1.0,49.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,3.8333333333333335,3,0.23570226039551584,2,bubble wrap global bening 3.0kg 30 cm x 100 meter,train,0,1,0
11.284591,0.0,3.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,3.5,3,0.0,1,bubble wrap global bening 3.0kg 30 cm x 50 meter,train,0,1,0
11.205054290550551,0.0,3.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.0,1,0.0,1,bubble wrap global bening 3.0kg 60 cm x 25 meter,train,0,1,0
11.244623862881447,0.0,2.9665,0.0,0.0,30.735,25.22,0.0,0.0,0.0,0.0,0.0,29.785,24.28,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.5,4,0.0,1,bubble wrap global bening 3.2kg 30 cm x 25 meter,train,0,1,0
11.283524879179666,0.0,3.099,0.0,0.0,29.59,51.53,0.0,0.0,0.0,0.0,0.0,29.37,50.5,0.0,0.0,1.0,48.0,10.0,0.0,0.0,0.0,0.0,Pelindung Kemasan,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,4.0,5,0.0,1,bubble wrap global bening 3.2kg 30 cm x 50 meter,train,0,1,0
